order_id,product_count
3377874,8
1704946,8
3196508,8
441812,7
750220,6
2519657,6
1411248,6
3419942,6
2652650,6
1817755,6
2527163,6
2735882,6
1501320,6
886987,6
1220955,6
880969,6
395703,6
3324964,5
3000171,5
820023,5
55815,5
1507505,5
1817233,5
2730194,5
1785675,5
1955762,5
2541954,5
1005721,5
1285902,5
1797342,5
2796102,5
1944865,5
962745,5
313833,5
1386572,5
1098123,5
761562,5
288942,5
121573,5
788500,5
2761670,5
1822892,5
2841484,5
979571,5
2786451,5
1489365,5
1839706,5
3012451,5
416782,5
2866368,5
912569,5
56621,5
2428097,5
3020940,5
2071444,5
1757597,5
1471483,5
1251600,5
1572855,5
2838920,5
2126312,5
2105882,5
501354,5
2552749,5
1541291,5
306013,5
555960,5
2454715,5
1796468,5
461976,5
2994802,5
1777600,5
3167474,5
1743666,5
3274579,5
42038,5
3172099,5
3138558,5
2120098,5
1256656,5
2029052,5
2256933,5
3219419,5
301689,5
3012356,5
523289,5
2861688,5
2757674,5
2337465,5
1360938,5
307117,5
3169758,5
428247,5
2568644,5
2837356,5
2032814,5
3165675,5
424644,5
2230718,5
1774072,5
2025982,5
1120086,5
1052605,5
2814511,5
2040214,5
584206,5
2937748,5
2244551,5
2100843,5
2082386,5
1304008,5
27933,5
970770,5
3006446,5
2514934,5
1961723,5
49775,5
2795677,5
2220722,5
1665932,5
2831011,5
157836,5
662209,5
2320453,5
1310800,5
2483777,5
3401318,5
1566566,5
1726732,5
2091383,5
2303698,5
1737998,5
2414455,5
1881427,5
3317508,5
1731076,5
721809,5
1700192,5
2568816,5
2311605,5
3374603,5
860531,5
849355,5
3019006,4
466133,4
2165372,4
1928970,4
3082239,4
2509153,4
2044948,4
1858505,4
1167031,4
342185,4
809915,4
3335514,4
2554746,4
3328089,4
2482443,4
2074659,4
1686324,4
3367385,4
121334,4
877955,4
540263,4
1720363,4
2920799,4
2946342,4
1597237,4
3071634,4
39489,4
346453,4
2677759,4
2988339,4
1327395,4
1584936,4
1687930,4
1301368,4
1568611,4
2357412,4
1529171,4
2927601,4
1015649,4
1525591,4
1092879,4
2975707,4
3391194,4
3073568,4
2447364,4
2104393,4
410735,4
1790458,4
1888628,4
3152975,4
2577002,4
3398499,4
257338,4
1059841,4
424732,4
1673428,4
2383088,4
511383,4
938950,4
2617013,4
2106805,4
2479011,4
2112996,4
328041,4
1894404,4
1295622,4
659896,4
211020,4
2372448,4
1778463,4
1050645,4
2458848,4
2047538,4
3243510,4
2278496,4
460110,4
454277,4
2122478,4
2552317,4
2906371,4
2997447,4
2720645,4
3228701,4
1278400,4
3136768,4
808772,4
2154664,4
783409,4
91997,4
2514144,4
70694,4
10706,4
637571,4
1523203,4
3008862,4
91356,4
1625847,4
829950,4
1541940,4
3060472,4
1563314,4
318596,4
1147500,4
220946,4
2988618,4
266121,4
67845,4
2239229,4
1631131,4
1009273,4
1005093,4
1435558,4
3414577,4
1888731,4
1560862,4
1768232,4
2155814,4
1574883,4
1445325,4
1188444,4
2568995,4
2789963,4
781686,4
2860965,4
2072591,4
1075460,4
2479044,4
1186005,4
3162868,4
1310502,4
2896382,4
943323,4
1303946,4
565227,4
881564,4
1753907,4
2324323,4
62129,4
2000932,4
118925,4
1651194,4
491251,4
2343489,4
1594605,4
2554863,4
3058474,4
1954376,4
447899,4
2908801,4
2556320,4
1310960,4
993782,4
2356177,4
1002871,4
1178926,4
1441032,4
3271477,4
1377255,4
2841149,4
2917802,4
3062358,4
1401991,4
2526363,4
2209762,4
1020662,4
421632,4
2465362,4
2369772,4
2487429,4
1625797,4
640337,4
2971953,4
539981,4
1959180,4
3099380,4
2382290,4
1550474,4
2956644,4
2874558,4
1537582,4
3136927,4
98804,4
761953,4
924242,4
2192627,4
5284,4
1226949,4
586659,4
2197075,4
1325050,4
2021398,4
2741900,4
1770056,4
871281,4
1889676,4
2689420,4
734944,4
1825848,4
2148751,4
3237770,4
962813,4
1345946,4
2495322,4
79028,4
1826830,4
1507967,4
1802804,4
2831883,4
632277,4
363785,4
717221,4
2659219,4
2348914,4
1401518,4
808124,4
2521390,4
641913,4
94889,4
3325841,4
2230365,4
1002095,4
785534,4
3294344,4
2614330,4
2044267,4
2975842,4
2053138,4
1679814,4
717629,4
2599181,4
1063520,4
687105,4
2296739,4
870484,4
2428217,4
816801,4
2398724,4
2955884,4
1830191,4
1284678,4
53868,4
2981005,4
127646,4
2215074,4
2221391,4
1935572,4
2716731,4
1447942,4
2806842,4
2252472,4
2483835,4
903110,4
2607849,4
3248334,4
1467211,4
231122,4
1513863,4
2314873,4
3329140,4
800451,4
883203,4
2109763,4
401159,4
1059154,4
3357226,4
1340506,4
2231136,4
1395093,4
2939139,4
1992780,4
783070,4
290514,4
2891578,4
1471721,4
693361,4
545284,4
1691926,4
1431765,4
701258,4
969529,4
212093,4
1001923,4
3218529,4
255824,4
919125,4
1392195,4
931673,4
509939,4
904104,4
3303664,4
1291168,4
2542775,4
1017731,4
229678,4
1774967,4
2822786,4
406552,4
3242350,4
2277120,4
2703384,4
1264991,4
1003071,4
1479528,4
3409081,4
2496101,4
1105330,4
790662,4
836236,4
3334310,4
621863,4
1872936,4
2897674,4
2997411,4
2618173,4
2266593,4
3061612,4
1503541,4
303166,4
3197851,4
2514857,4
1118824,4
587337,4
2791886,4
1834075,4
3225164,4
2962786,4
3137102,4
2105737,4
3221626,4
3269588,4
2707074,4
10125,4
945753,4
1747164,4
1263967,4
2845152,4
992826,4
426554,4
2637192,4
2604900,4
2621907,4
3222148,4
45050,4
1863318,4
2381705,4
2692798,4
3411371,4
135606,4
2720517,4
3027990,4
2735939,4
979306,4
2947065,4
1891679,4
1982286,4
2039320,4
1491333,4
1787058,4
717730,4
190877,4
531127,4
2271039,4
809272,4
935981,4
2728048,4
991338,4
